filesystem,iosize,ops,total_ops_per_sec,read_ops,write_ops,throughput,latency,avg_usr,avg_sys,avg_util
leanfs,4k,46705,4669.935,1504,157,24.6mb/s,59.46,22.47,27.61,93.37
ext4,4k,187128,18710.572,6037,608,99.0mb/s,14.98,1.31,7.00,82.70
xfs,4k,204847,20482.338,6602,666,108.2mb/s,13.67,2.07,8.79,82.83
btrfs,4k,229160,22913.395,7393,742,121.2mb/s,12.18,1.77,14.17,90.30
